Genotype,Date,Haun
Bologna,19/01/2022,2.8
Hondia,19/01/2022,2.6
Marcopolo,19/01/2022,2.6
Bologna,14/02/2022,3.2
Hondia,14/02/2022,3
Marcopolo,14/02/2022,3
Bologna,09/03/2022,5.9
Hondia,09/03/2022,5.7
Marcopolo,09/03/2022,5.8
Bologna,22/03/2022,7.3
Hondia,22/03/2022,7.1
Marcopolo,22/03/2022,7.2
Bologna,05/04/2022,9
Hondia,05/04/2022,8.5
Marcopolo,05/04/2022,8.7
Bologna,19/04/2022,11.1
Hondia,19/04/2022,10.5
Marcopolo,19/04/2022,10.6
Bologna,03/05/2022,11.3
Hondia,03/05/2022,11.5
Marcopolo,03/05/2022,10.9
