"","model","X.Intercept.","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg","date","alt","lambda"
"1","ridge",160.933166666667,-20.7426991848565,9.90122050308278,8.89505484789088,-19.8395048780374,-8.6142250484985,-0.128500141998545,-8.73611319090426,-4.28202661030454,6.76710703511929,-9.66247472410296,9.68426422994572,2.79264053096997,-8.83031664331187,13.8764461769491,9.4951811387978,"2022-01-19","50m",160
"2","ridge",160.933166666667,-10.1423615128148,-37.8017846509101,14.9643281906607,-11.7065730072842,8.65940718597771,-2.43413604321805,4.16033002507204,-7.0751273267544,22.6124026571485,58.9924464754489,-31.439743836611,3.46868919283474,-2.42713757243539,-4.63549934009014,53.9378498337649,"2022-01-19","15m",7
"3","ridge",160.933166666667,-33.218470506708,-3.14371173124047,11.1332452518867,-32.6721965996471,-12.1219896165274,1.73724810742746,-10.8410206153778,-2.22751701706905,32.3235917405794,-14.4363349020255,-2.06901946883265,12.9934487570738,-20.8092998758237,18.0960994676975,-0.653671713794134,"2022-01-19","30m",9
"4","ridge",160.933166666667,1.01085023353159,13.8263857631333,0.475228973021307,1.48960297611285,-14.9124662631572,0.134239296844127,-11.8363477576991,1.43376517980322,38.6315390135736,5.64301112707756,14.2119626651218,2.08518180922675,8.13179157084642,21.1604795540278,38.5416108910689,"2022-01-19","ground",11
"5","ridge",160.933166666667,-4.03972729754219,-9.43375551024653,14.7248884234091,-4.49621358191136,-12.8573528894864,2.45257144972224,-12.018601664549,-1.34222233078638,14.6348150518759,-6.37245789604821,-17.7791689468581,12.4732559588946,44.5150924425746,19.3943835997522,26.7150509807143,"2022-02-14","30m",10
"6","ridge",160.933166666667,-5.47923605324299,-8.24412304384092,1.90186070462959,-6.22452318375231,-4.09989918130576,-6.57884953340163,-5.66303059809246,-7.77821572174493,-1.73273374014095,5.20325386037815,-29.183937459641,9.03918755651116,36.705130970288,4.41571589147938,26.3778831657633,"2022-02-14","15m",11
"7","ridge",160.933166666667,-23.3333542342993,9.33289629576105,24.0107414710411,-21.9930791788806,-11.4493576473703,11.5658969724475,-8.25875635568111,5.02608268629854,14.6389086593233,-1.98184726812889,-14.2149418805378,7.02043677854116,-1.0721173576339,28.8899799008836,19.4547644586094,"2022-02-14","50m",33
"8","ridge",160.933166666667,-3.5368035851214,1.75217842585136,10.874617630514,-2.57973324504645,-24.3291542485338,4.51332516427617,-16.862709356533,5.02793616745573,37.3779488016643,6.04681185162882,2.42925560526232,-4.2841582508607,17.9054780867024,32.0461331879999,19.573673958394,"2022-02-14","ground",10
"9","ridge",160.933166666667,-8.90146196797568,9.16595676280291,5.5949235167445,-8.75847254305445,-10.2806831953066,-3.1982527561817,-9.05571702721237,-6.78984682178509,-6.12503299184733,-0.305799847020687,0.985958750868637,18.434377730137,26.316797313388,10.0862302983124,18.4893221819953,"2022-03-09","15m",11
"10","ridge",160.933166666667,-7.43411091755764,8.6876725169642,1.39648686499223,-7.40934368287902,-9.2855278842685,-4.37802026280669,-8.85257714004888,-6.28096069802927,5.68623178747016,10.6080312348428,-9.22790993194181,10.9993856353233,11.4924898339188,8.63000859813293,9.41599755615759,"2022-03-09","50m",64
"11","ridge",160.933166666667,-5.56059966579298,7.81115847882971,-1.51267636097855,-5.54559355428185,-10.3175107046508,-3.80569562169635,-9.49973086404762,-6.78188151611693,1.73380898386176,8.61625417685338,-2.6021848769362,18.8343107089117,21.8396779810092,8.97271871453184,12.3171700854329,"2022-03-09","30m",10
"12","ridge",160.933166666667,-4.09127334125534,-2.00420502007981,25.8098270074808,-2.88431357964138,-4.84899715087896,15.3645744753055,-3.32776565624947,12.134069804272,16.3659840695388,23.4540527492402,-4.44982784910515,13.5181481028889,19.7148520264247,9.04810618252932,-14.2220125252423,"2022-03-09","ground",10
"13","ridge",160.933166666667,-9.3567954416481,8.48766469877181,8.64051296456612,-10.3027899066512,-7.99486780660412,4.06563355549399,-2.99623318401028,-15.5716672825731,-4.28783571610664,10.8390271667181,-6.99262675961095,14.5945699946141,15.9581651764112,3.64352130671947,7.54894080069086,"2022-03-22","50m",22
"14","ridge",160.933166666667,-13.5612248778773,9.2530121593321,12.57883384691,-44.7601881526786,16.3187308794462,28.3335531755992,10.2682582068349,-19.6184859543469,-10.5481710518916,1.19282211983504,-3.43770831192297,12.9264032502151,16.9522241134574,-7.09992241580156,2.09372527348982,"2022-04-05","50m",9
"15","ridge",160.933166666667,-21.7995099825113,-23.7583432072771,2.9539978169519,-22.4320387617541,5.16296689288254,34.9748298410197,28.963438374875,-8.24314651285398,-5.52271823620651,-2.69547726309386,-2.88189830513572,29.9306675230141,36.5915244593938,11.3642200402699,15.477514521736,"2022-04-19","50m",9
"16","ridge",160.933166666667,-33.4220352679516,-40.9365314227929,3.57425376868354,-37.1575152293658,9.47280708878476,25.1228666577862,17.2842671182314,-19.0019350249101,-3.74553353238412,4.83111986236026,-7.03428392325987,24.3588082913206,28.5756810178296,9.08361620956344,6.16204511384195,"2022-05-03","50m",7
